data,model,seq_len,pred_len,lr,mse,mae,val_mse,val_mae,train_mse,train_mae,training_time,norm_type,activation,n_block,dropout,ff_dim
ETTh1,tsmixer,336,96,0.0001,0.5395146012306213,0.5297642350196838,0.7406954169273376,0.5870695114135742,0.34040960669517517,0.4219110608100891,1262.2566170692444,B,relu,2,0.05,2048
ETTh1,tsmixer,336,192,0.0001,0.6605499386787415,0.6115701794624329,0.9966335892677307,0.6918856501579285,0.37753817439079285,0.4460342824459076,1168.864857673645,B,relu,2,0.05,2048
ETTh1,tsmixer,336,336,0.0001,0.74760901927948,0.6603434681892395,1.1912157535552979,0.7698673009872437,0.43451961874961853,0.48318159580230713,1143.42343044281,B,relu,2,0.05,2048
ETTh1,tsmixer,336,720,0.0001,0.8567478060722351,0.7302296161651611,1.3258291482925415,0.817463219165802,0.5013539791107178,0.5257331728935242,1564.8887915611267,B,relu,2,0.05,2048
ETTh2,tsmixer,336,96,0.0001,1.5493707656860352,1.0093072652816772,0.6311274766921997,0.5871029496192932,0.4391362965106964,0.43229880928993225,876.7357654571533,B,relu,2,0.05,2048
ETTh2,tsmixer,336,192,0.0001,1.8326693773269653,1.1108579635620117,0.760666012763977,0.6440585255622864,0.8688933849334717,0.5974510312080383,756.9224746227264,B,relu,2,0.05,2048
ETTh2,tsmixer,336,336,0.0001,2.12976336479187,1.2153671979904175,0.8803485631942749,0.6926749348640442,0.8570840358734131,0.5993169546127319,814.8261449337006,B,relu,2,0.05,2048
ETTh2,tsmixer,336,720,0.0001,2.3716940879821777,1.3090153932571411,0.9641412496566772,0.7378244400024414,0.8626331090927124,0.6121004223823547,676.3414206504822,B,relu,2,0.05,2048
ETTm1,tsmixer,336,96,0.0001,0.34663164615631104,0.4082760214805603,0.4210085868835449,0.44629210233688354,0.2214302122592926,0.3316977918148041,5277.143582105637,B,relu,2,0.05,2048
ETTm1,tsmixer,336,192,0.0001,0.39662161469459534,0.4421744644641876,0.5497788786888123,0.5111113786697388,0.26891738176345825,0.36691397428512573,7692.981683731079,B,relu,2,0.05,2048
ETTm1,tsmixer,336,336,0.0001,0.45156559348106384,0.47141945362091064,0.6784490942955017,0.5609893202781677,0.32307541370391846,0.4035734534263611,4588.928275823593,B,relu,2,0.05,2048
ETTm1,tsmixer,336,720,0.0001,0.5788735151290894,0.559855043888092,0.9253779053688049,0.650302529335022,0.38995057344436646,0.4470577538013458,3541.6865622997284,B,relu,2,0.05,2048
ETTm2,tsmixer,336,96,0.0001,0.32284480333328247,0.4370703101158142,0.18575437366962433,0.3187704384326935,0.22121946513652802,0.30599942803382874,3592.2305071353912,B,relu,2,0.05,2048
ETTm2,tsmixer,336,192,0.0001,0.6980239152908325,0.6511281728744507,0.29815760254859924,0.40634679794311523,0.3997446596622467,0.3982250392436981,2950.351814031601,B,relu,2,0.05,2048
ETTm2,tsmixer,336,336,0.0001,1.683977723121643,0.9882683157920837,0.41473501920700073,0.4883732199668884,0.24876144528388977,0.3292140066623688,4339.0320835113525,B,relu,2,0.05,2048
ETTm2,tsmixer,336,720,0.0001,7.129085063934326,2.157026767730713,0.9501004815101624,0.7042997479438782,0.2341279238462448,0.3264823257923126,4884.1472318172455,B,relu,2,0.05,2048
weather,tsmixer,336,96,0.0001,0.16248711943626404,0.24119995534420013,0.39784273505210876,0.30709871649742126,0.40389037132263184,0.3274380564689636,4509.365673065186,B,relu,2,0.05,2048
weather,tsmixer,336,192,0.0001,0.20101214945316315,0.2764046788215637,0.4417154788970947,0.3404003083705902,0.4425295889377594,0.35846734046936035,37128.990851163864,B,relu,2,0.05,2048
weather,tsmixer,336,336,0.0001,0.24925075471401215,0.3163231909275055,0.5016264915466309,0.38579994440078735,0.49798691272735596,0.39886248111724854,30776.872237443924,B,relu,2,0.05,2048
weather,tsmixer,336,720,0.0001,0.3137768507003784,0.35899460315704346,0.6325436234474182,0.4570484161376953,0.6385951042175293,0.4769582748413086,3306.958403110504,B,relu,2,0.05,2048
traffic,tsmixer,336,96,0.0001,0.5805268287658691,0.444119930267334,0.4642772078514099,0.3910953104496002,0.23514075577259064,0.29495471715927124,23764.071961164474,B,relu,2,0.05,2048
traffic,tsmixer,336,192,0.0001,0.6186761260032654,0.4741891622543335,0.49936994910240173,0.4216708242893219,0.2369653731584549,0.2939755320549011,12939.307079076767,B,relu,2,0.05,2048
traffic,tsmixer,336,336,0.0001,0.6219057440757751,0.4691302478313446,0.5088594555854797,0.42017292976379395,0.23361198604106903,0.2882077991962433,13260.668875932693,B,relu,2,0.05,2048
traffic,tsmixer,336,720,0.0001,0.6735766530036926,0.48541712760925293,0.539905309677124,0.4171493649482727,0.20882263779640198,0.24920950829982758,13287.14139509201,B,relu,2,0.05,2048
national_illness,tsmixer,336,96,0.0001,5.716437339782715,1.7055425643920898,0.8417143225669861,0.7048357129096985,0.7517226934432983,0.6341711282730103,35.427884578704834,B,relu,2,0.05,2048
national_illness,tsmixer,336,96,0.0001,5.716437339782715,1.7055425643920898,0.8417143225669861,0.7048357129096985,0.7517226934432983,0.6341711282730103,31.642234563827515,B,relu,2,0.05,2048
national_illness,tsmixer,336,96,0.0001,5.716437339782715,1.7055425643920898,0.8417143225669861,0.7048357129096985,0.7517226934432983,0.6341711282730103,33.12696599960327,B,relu,2,0.05,2048
national_illness,tsmixer,336,96,0.0001,5.716437339782715,1.7055425643920898,0.8417143225669861,0.7048357129096985,0.7517226934432983,0.6341711282730103,32.505675077438354,B,relu,2,0.05,2048
